Molecule Name,SMILES
MIPS-0057206,FC1=CC([C@H](N2C(=O)OC3=C2C=CC(C2=C(C4=NN=C(C)O4)C(CCC4=CC=C(F)C=C4)=NC4=C2C(=O)N2N4CCC2)=C3)C)=CC=C1C#N
MIPS-0057205,FC1=CC([C@@H](N2C(=O)OC3=C2C=CC(C2=C(C4=NN=C(C)O4)C(CCC4=CC=C(F)C=C4)=NC4=C2C(=O)N2N4CCC2)=C3)C)=CC=C1C#N
MIPS-0056976,O=C(NCC1=CN=CC=C1)C1=CC=C(C2=C(C(O)=O)C(CCC3=CC=C(F)C=C3)=NC3=C2C(=O)N2CCCN32)C=C1
MIPS-0056973,C12=NC(=O)C(C(=O)OCC)=C(C3=CC=C(C(=O)NCC4=CC=C(F)C(F)=C4)S3)C1=C(NCCC1=CC=CC=C1)N1N2CCC1
MIPS-0056949,C1CN2N(C1)C(OCCC1=CC=CC=C1)=C1C2=NC(=O)C(C(=O)OCC)=C1C1=CC=C(C(NCC2=CC=C(F)C(F)=C2)=O)S1
MIPS-0056912,ClC1N2N(CCC2)C2=NC(=O)C(C(OCC)=O)=C(C3=CC=C(C(NCC4=CC(F)=C(F)C=C4)=O)S3)C12
MIPS-0056909,O=C1NN(C2=CC=CC=C2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)C(C1=NN=C(C)O1)=C(CCC1=CC=C(F)C=C1)N2
MIPS-0056847,O=C1N2N(CCC2)C2=C1C(C1=NC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0056846,O=C1N2N(CCC2)C2=C1C(C1=NC=C(Br)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0056845,O=C1N2N(CCC2)C2=C1C(C1=NC=C(C(OC)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0056841,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)=C(C(OCC)=O)C(=O)N2
MIPS-0056840,O=C1N2N(CCC2)C2=C1C(C1=NC=C(C(O)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0056797,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)C(C(OCC)=O)C(=O)N2
MIPS-0056795,FC1=CC(C(N2C(=O)OC3=C2C=CC(C2=C(C4=NN=C(C)O4)C(CCC4=CC=C(F)C=C4)=NC4=C2C(=O)N2N4CCC2)=C3)C)=CC=C1C#N
MIPS-0056760,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)=C(C(NCCO)=O)C(C)=N2
MIPS-0056745,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)C(C(OCC)=O)=C(CCCC(C)C)N2
MIPS-0056737,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)=C(C(O)=O)C(C)=N2
MIPS-0056736,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)C(C(OCC)=O)=C(CCCCC1CCCCC1)N2
MIPS-0056719,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)=C(C(OCC)=O)C(CCCC(C)C)=N2
MIPS-0056718,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)=C(C(OCC)=O)C(CCCCC1CCCCC1)=N2
MIPS-0056696,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)C(C(OCC)=O)=C(CCCC1CCCCC1)N2
MIPS-0056688,O=C1C2=C(N=C(CCC3=CC=C(F)C=C3)C(C(OCC)=O)=C2C2=CC=C(C(NCC3=CC=C(S(N)(=O)=O)C=C3)=O)S2)N2N1CCC2
MIPS-0056673,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)=C(C(OCC)=O)C(CCCC1CCCCC1)=N2
MIPS-0056672,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S1)=C(C(OCC)=O)C(CCCCC1=CC=CC=C1)=N2
MIPS-0056662,O=C(NCC1=CN=CC=C1)C1=CC=C(C2=C(C(OCC)=O)C(CCC3=CC=C(F)C=C3)=NC3=C2C(=O)N2CCCN32)C=C1
